vOTU_ID	VIBRANT_quality	CheckV_completeness	contig_length	gene_count	predicted_temperate	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies	number_of_soil_types_where_detected	detected_in_dry_soils	detected_in_wet_soils
WUA_VD19_contig_96919	circular	100	40372	42	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_103446	circular	100	52438	82	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_103538	circular	100	50031	67	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_103540	circular	100	43789	52	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_103542	circular	100	44360	50	FALSE	Caudovirales	Podoviridae	Pradovirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_18973	high	88.06	32865	45	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Massilia	Massilia sp001426525	2	FALSE	TRUE
WUA_VD20_contig_20732	high	100	63385	95	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Massilia	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_21295	high	100	50386	80	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_32649	high	74.13	30816	36	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_34754	circular	93.22	96362	140	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	TRUE	TRUE
WUA_VD20_contig_41574	high	98.23	47359	78	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_4540	circular	100	47851	68	FALSE	Caudovirales	Myoviridae	Unclassified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_47758	high	83.11	37827	48	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_55479	high	98.62	98163	134	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD20_contig_58747	high	100	41543	69	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_70619	high	100	53922	70	TRUE	Caudovirales	Podoviridae	Bpp1virus	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_86976	high	54.99	40635	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_90648	high	96.38	95167	141	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_92577	high	41.04	80050	119	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_96673	circular	100	65066	94	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD20_contig_9751	high	100	39769	61	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_101463	high	100	43536	53	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Massilia	Massilia sp900101265	2	FALSE	TRUE
WUA_VD21_contig_103114	circular	100	44623	57	FALSE	Caudovirales	Podoviridae	Pradovirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD21_contig_103170	circular	100	49592	73	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD21_contig_103179	circular	100	43088	61	FALSE	Caudovirales	Myoviridae	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_103184	circular	100	40357	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_23142	circular	100	44563	66	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_23393	high	45.49	27063	33	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_49775	high	100	43394	51	FALSE	Caudovirales	Podoviridae	Pradovirus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_54908	high	15.52	20227	22	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD21_contig_56368	high	89.6	47384	62	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_6072	high	92.94	119499	156	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_62002	high	100	43970	57	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia temeraria	1	FALSE	TRUE
WUA_VD21_contig_69161	circular	42.9	49598	76	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_72536	high	60.88	50723	59	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	Sphingomicrobium jaspsi	2	FALSE	TRUE
WUA_VD21_contig_74138	high	23.02	10438	13	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_75336	high	78.12	43733	66	FALSE	Caudovirales	Myoviridae	Unclassified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_7578	high	17.39	22397	23	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_78460	circular	100	51052	80	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_94246	circular	100	35962	50	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD21_contig_9984	high	16.79	21118	19	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_104757	circular	100	73448	93	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_105888	circular	100	56825	86	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_106039	circular	100	47897	70	FALSE	Caudovirales	Siphoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_27760	high	13.8	18112	20	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_31265	high	77.59	61866	84	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_36212	circular	100	45379	59	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga sp011777495	1	FALSE	TRUE
WUA_VD22_contig_4103	high	33.73	43516	45	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD22_contig_42966	circular	73.71	59758	100	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_50472	circular	100	53556	83	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	2	FALSE	TRUE
WUA_VD22_contig_50666	circular	100	47881	64	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_52124	circular	100	45952	64	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	Rhodopseudomonas palustris_G	1	FALSE	TRUE
WUA_VD22_contig_57001	circular	58.39	43970	72	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD22_contig_62041	circular	100	43404	55	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_73081	high	50.1	36909	62	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_75744	high	89.43	43594	60	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD22_contig_76692	high	98.04	37605	55	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_82993	circular	100	42695	51	FALSE	Caudovirales	Podoviridae	Bpp1virus	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_84072	high	100	48097	70	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_85944	high	55.15	25580	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_87374	high	100	44622	66	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD22_contig_98754	high	23.63	22051	32	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_22765	circular	100	44371	56	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD23_contig_24836	high	99.41	47266	72	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_3714	high	100	106691	155	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Terrabacter	Terrabacter sp000383675	1	FALSE	TRUE
WUA_VD23_contig_38451	high	97.55	77547	109	FALSE	Unclassified	Unclassified	Unclassified	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_39001	high	55.21	32682	46	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_4962_fragment_1	high	63.41	85386	115	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_50543	high	100	45785	64	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD23_contig_52809	circular	100	44526	80	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD23_contig_66516	circular	100	36552	52	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD23_contig_67113	circular	100	37467	66	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_110025	circular	100	45606	62	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_11787	high	100	38176	51	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD24_contig_17281	high	45.07	155106	167	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_19641	high	50.18	35082	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_24194	circular	100	42112	69	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_25575	high	100	97721	120	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_29172	high	100	76948	105	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_32259	high	89.45	36990	43	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_33264	high	60.33	35733	36	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_33302	circular	100	43408	51	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_38016	high	9.69	16146	25	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD24_contig_47114	high	100	52904	71	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_50129	high	59.72	87275	98	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_54293	high	100	56749	76	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_56369	high	39.54	38276	40	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_59599	high	100	49079	66	FALSE	Caudovirales	Siphoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_72339	circular	100	43100	63	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_72422	high	98	79877	111	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_72932	high	100	51061	72	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_74940	high	94.39	54299	71	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_76433	high	95.78	43808	56	TRUE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_77709	circular	75.4	56797	85	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_79174	high	100	77559	97	TRUE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_A	Pseudomonas_A stutzeri	1	FALSE	TRUE
WUA_VD24_contig_83085	high	61.18	98519	120	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD24_contig_85993	circular	100	49120	69	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD24_contig_88827	high	100	107373	181	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Terrabacter	Terrabacter sp000383675	1	FALSE	TRUE
WUA_VD24_contig_98244	high	49.46	37662	49	FALSE	Unclassified	Unclassified	Unclassified	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_13077	high	53.7	36803	54	FALSE	Unclassified	Unclassified	Unclassified	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD25_contig_33480	high	50.62	65059	66	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_36649	circular	100	42918	68	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_46109	high	100	51580	85	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium interjectum_B	1	FALSE	TRUE
WUA_VD25_contig_47178	high	63.16	25650	29	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD25_contig_81083	high	100	41134	62	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_85407	circular	100	40109	65	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_90923	high	65.08	42937	94	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_94389	circular	100	44517	56	FALSE	Caudovirales	Podoviridae	Sp6virus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	TRUE	TRUE
WUA_VD25_contig_95662	circular	100	41461	63	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_102450	high	59.46	27233	47	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_113931	circular	77.95	68955	97	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_113995	circular	62.92	45260	80	TRUE	Unclassified	Unclassified	Unclassified	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_E	Paenibacillus_E pectinilyticus	1	FALSE	TRUE
WUA_VD26_contig_15337	high	100	60311	95	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
